Categoria;Qunt.;Item;Imagem;Orçado;Site;Status
PIX;;Madeira pra ajudar nos móveis;https://www.tuacasa.com.br/wp-content/uploads/2017/12/tipos-de-madeira-24.jpg; 2.000,00 ;;Disponível
PIX;;1º botijão de gás do casal;https://images-americanas.b2w.io/produtos/4981171682/imagens/botijao-de-gas-13-kg-pode-ser-trocado-por-qualquer-marca/4981171682_1_large.jpg; 150,00 ;;Disponível
PIX;;Uma força na conta de luz;https://www.receitas-sem-fronteiras.com/cache/slideshow/suposta-fatura.png/2cb6823c975ee09b0d93e071c71c86d5.png; 200,00 ;;Disponível
PIX;;Lâmpada pra casa;https://www.lumitecfoto.com.br/media/catalog/product/cache/1/image/650x/9df78eab33525d08d6e5fb8d27136e95/l/a/lampada-incandescente-100w-1_1.jpg; 90,00 ;;Disponível
PIX;;Porta nova;https://cdn.leroymerlin.com.br/products/porta_postigo_aluminio_brilhante_2_10x0,80_lado_esquerdo_1569838034_b56d_600x600.jpg; 300,00 ;;Disponível
PIX;;Rejunte dos pisos;https://www.obramax.com.br/media/magefan_blog/rejunte.jpg; 250,00 ;;Disponível
PIX;;Help com os mármores;https://i.ytimg.com/vi/BAqFYM7bCiE/maxresdefault.jpg; 700,00 ;;Disponível
PIX;;Almofadas pro sofá;https://d3ugyf2ht6aenh.cloudfront.net/stores/001/035/509/products/cccd2141-b18d-41c3-8097-12b66fbe1045-506277311fa8f82eb616452932884550-640-0.jpeg; 110,00 ;;Disponível
PIX;;Ajuda com a obra;https://www.mapadaobra.com.br/wp-content/uploads/2017/04/novo-layout-VC-6.jpg; 500,00 ;;Disponível
PIX;;Só pra não dizer que não dei nada;https://media.seudinheiro.com/uploads/2022/10/dinheiro-10-2-1.jpg; 75,00 ;;Disponível
PIX;;Ladrilho novo na cozinha;https://revestindoacasa.com.br/wp-content/uploads/2022/01/ladrilho-hidraulico-retoma-memoria-afetiva-em-reforma-de-apartamento-1-1024x683.jpg; 130,00 ;;Disponível
PIX;;Tinta pra pintar a casa;https://blog.easydeco.com.br/wp-content/uploads/2019/06/afinal-como-pintar-uma-parede-sem-fazer-sujeira-aprenda-aqui.jpeg; 175,00 ;;Disponível
Casa;1;vassoura mágica;https://images-americanas.b2w.io/produtos/5959476050/imagens/aspirador-de-po-philco-rapid-turbo-2-em-1-vermelho-e-preto-ph1100-127-volts/5959476068_1_xlarge.jpg; 200,00 ;https://www.americanas.com.br/produto/5959476050?epar=bp_pl_00_go_ep_d_9105_comp_tk2&opn=YSMESP&WT.srch=1&offerId=632aff329064f2befb50eaab&gclsrc=aw.ds&gclid=Cj0KCQiA4OybBhCzARIsAIcfn9lHvI72mv4smJ-OsXnlfDsCHUJI_38tGYGGxEXTfEoT4GTbQD5kuqoaAuspEALw_wcB&voltagem=127%20Volts&condition=NEW;Disponível
Casa;1;ferro de passar roupa;https://http2.mlstatic.com/D_NQ_NP_884848-MLA43166370003_082020-O.webp; 170,00 ;https://www.mercadolivre.com.br/ferro-de-passar-roupas-blackdecker-vfa-eco-cor-cinza-127v/p/MLB16005832?matt_tool=18956390&utm_source=google_shopping&utm_medium=organic;Disponível
Casa;1;Tábua de passar roupa;https://m.media-amazon.com/images/I/51OQMsLoMXL._AC_SY355_.jpg; 150,00 ;;Disponível
